,Lon,LENGTH_GEO
0,-180.0,202.850160766
1,-179.75,116.73928281299999
2,-179.5,105.011823438
3,-179.25,174.476427432
4,-179.0,170.899665616
5,-178.75,169.007544954
6,-178.5,169.547632467
7,-178.46699519999999,169.539581166
8,-178.25,126.13456834700001
9,-178.0,123.656244156
10,-177.75,134.610823424
11,-177.5,120.057352219
12,-177.25,115.56364118200001
13,-177.0,112.66306340800001
14,-176.75,116.02969324700001
15,-176.5,115.137392176
16,-176.25,92.512584875
17,-176.0,81.57042429259998
18,-175.75,80.8819288511
19,-175.5,86.0267229041
20,-175.25,88.7581370497
21,-175.0,87.9393220326
22,-174.75,83.4433665393
23,-174.5,78.947422946
24,-174.25,111.883304
25,-174.0,79.5560243452
26,-173.75,73.8400939031
27,-173.5,73.7874716447
28,-173.25,75.67709582509998
29,-173.0,71.33139843630002
30,-172.75,72.5920775875
31,-172.5,89.8502042219
32,-172.25,89.8595602267
33,-172.0,89.9219172107
34,-171.75,101.024246705
35,-171.5,108.89785473
36,-171.25,111.940118793
37,-171.0,108.746576606
38,-170.75,109.019294055
39,-170.5,109.947320731
40,-170.25,111.23773393299999
41,-170.0,104.04287853299999
42,-169.75,117.349123744
43,-169.5,117.99619322900001
44,-169.25,109.281598789
45,-169.0,109.6166381
46,-168.75,116.395040264
47,-168.5,118.00968014
48,-168.25,125.118157292
49,-168.0,111.837631879
50,-167.75,108.83644486600001
51,-167.5,116.899788415
52,-167.25,123.380782396
53,-167.0,127.960522195
54,-166.75,135.363022496
55,-166.5,136.707409025
56,-166.25,138.923227183
57,-166.0,139.906903724
58,-165.75,146.300991744
59,-165.5,142.40154577200002
60,-165.25,141.715416866
61,-165.0,146.72215481699996
62,-164.75,154.031767548
63,-164.5,148.328833488
64,-164.25,153.412203892
65,-164.0,157.930619535
66,-163.75,164.15823424299998
67,-163.5,146.929420798
68,-163.25,148.905094519
69,-163.0,92.6611704091
70,-162.75,264.63548886
71,-162.5,151.015690113
72,-162.25,148.118976217
73,-162.0,117.298401662
74,-161.75,97.0663070037
75,-161.5,56.997050333800004
76,-161.25,56.8556637282
77,-161.0,57.330099233199995
78,-160.75,39.8332467924
79,-160.5,35.4719895325
80,-160.25,51.307331476899996
81,-160.0,56.348682840100004
82,-159.75,51.2062623985
83,-159.5,59.408629455500005
84,-159.25,57.732074169300006
85,-159.0,63.542275226499996
86,-158.75,63.991131636999995
87,-158.5,131.307289837
88,-158.25,624.9802216249999
89,-158.0,608.2213044449999
90,-157.75,405.442005432
91,-157.5,510.177838339
92,-157.25,491.512944726
93,-157.0,515.94146379
94,-156.75,416.38428349
95,-156.5,458.20008208300004
96,-156.25,552.676855562
97,-156.0,454.258737667
98,-155.75,425.232750701
99,-155.5,392.831216925
100,-155.25,253.13916970900002
101,-155.0,120.90912156200001
102,-154.75,233.44478706200002
103,-154.5,236.881252972
104,-154.25,178.03025281400002
105,-154.0,117.43195649799999
106,-153.75,146.211869598
107,-153.5,149.106134644
108,-153.25,163.91781661799996
109,-153.0,164.451350223
110,-152.75,165.01319633399999
111,-152.5,167.21408585
112,-152.25,167.87712615700002
113,-152.0,167.207215831
114,-151.75,153.552976039
115,-151.5,124.668810101
116,-151.25,103.747929842
117,-151.0,97.8332054808
118,-150.75,97.61115972360001
119,-150.5,97.2392805858
120,-150.25,97.6398450874
121,-150.0,98.0721836799
122,-149.75,98.02775576389999
123,-149.5,97.2877447732
124,-149.25,96.1361359776
125,-149.0,90.8562184138
126,-148.75,84.9004527189
127,-148.5,83.7608461656
128,-148.25,82.93051915799998
129,-148.0,82.28375828189999
130,-147.75,101.818529627
131,-147.5,97.59294341209998
132,-147.25,290.34054604799996
133,-147.0,286.230064956
134,-146.75,276.32887867700003
135,-146.5,118.651742401
136,-146.25,124.14887385600001
137,-146.0,217.50779502900002
138,-145.75,135.385708416
139,-145.5,113.662819815
140,-145.25,411.615218688
141,-145.0,243.456188861
142,-144.75,185.10256678099998
143,-144.5,183.46408686900003
144,-144.25,173.77401596
145,-144.0,314.617825655
146,-143.75,176.109552354
147,-143.5,514.676148716
148,-143.25,179.54431831099998
149,-143.0,192.64836811900003
150,-142.75,356.7089744793332
151,-142.5,360.90071914106665
152,-142.25,395.801581245
153,-142.0,334.4665442233
154,-141.75,337.4762393132333
155,-141.5,409.303650431
156,-141.25,291.89652357750003
157,-141.0,256.5214394168333
158,-140.75,270.15857400650003
159,-140.5,264.282396803
160,-140.25,180.6306122293
161,-140.0,166.55831543358
162,-139.75,120.65204978838433
163,-139.73699950000002,249.6736339
164,-139.5,114.87525298606666
165,-139.25,78.28505997776666
166,-139.0,61.3797464065
167,-138.75,55.63221533876666
168,-138.5,47.0919678596
169,-138.25,86.217324783
170,-138.0,269.95653092245
171,-137.7709961,455.21131884199997
172,-137.75,392.65714809199994
173,-137.5,357.93640106242
174,-137.2709961,36.6957871957
175,-137.25,418.4445640203333
176,-137.0,371.66018690862495
177,-136.75,423.80538608338
178,-136.5,463.61004904199996
179,-136.25,472.37543120199996
180,-136.0,480.713819905
181,-135.75,488.588406751
182,-135.5,496.45782976699996
183,-135.470993,40.325438396100004
184,-135.25,504.77696443199994
185,-135.0,513.5032247940001
186,-134.7740021,39.155097419200004
187,-134.75,523.0099480490001
188,-134.5,535.735517794
189,-134.25,550.161408616
190,-134.0,565.875006059
191,-133.75,582.6877737780001
192,-133.5,569.11375154
193,-133.25,570.64583135
194,-133.0,571.643935027
195,-132.75,571.186216938
196,-132.5,572.18868144
197,-132.25,575.518160494
198,-132.0,575.9774937990001
